,Player,Nation,Pos,Age,TotlMin,Games,sc_G,sc_A,sc_GA,CrdY,CrdR,xG,xAG,npxG+xAG,PrgC,PrgP,PrgR
132,Harvey Barnes,eng ENG,"FW,MF",25.0,21,7,5.0,3.0,8.0,2.0,0.0,3.6,3.2,6.8,45.0,34.0,79.0
133,Sandro Tonali,it ITA,MF,23.0,8,5,1.0,0.0,1.0,2.0,0.0,0.7,0.6,1.3,11.0,19.0,21.0
134,Joe Willock,eng ENG,MF,23.0,9,5,1.0,0.0,1.0,0.0,0.0,0.8,0.6,1.4,16.0,17.0,26.0
135,Loris Karius,de GER,GK,30.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,Matt Targett,eng ENG,DF,27.0,3,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0
137,Matt Ritchie,sct SCO,"FW,MF",33.0,13,0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,5.0,8.0,13.0
138,Ben Parkinson,eng ENG,FW,18.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,Paul Dummett,wls WAL,DF,31.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
140,Alex Murphy,ie IRL,"DF,FW",19.0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
141,Joe White,eng ENG,MF,20.0,4,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0
142,Amadou Diallo,eng ENG,MF,20.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,Michael Ndiweni,eng ENG,FW,19.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,Guglielmo Vicario,it ITA,GK,26.0,38,38,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
145,Pedro Porro,es ESP,DF,23.0,35,35,3.0,7.0,10.0,3.0,0.0,2.9,7.2,10.1,57.0,194.0,158.0
146,Son Heung-min,kr KOR,FW,31.0,35,34,17.0,10.0,27.0,1.0,0.0,12.0,11.8,22.2,119.0,139.0,325.0
147,Cristian Romero,ar ARG,DF,25.0,33,33,5.0,0.0,5.0,7.0,1.0,3.5,0.4,3.9,32.0,179.0,8.0
148,Dejan Kulusevski,se SWE,"FW,MF",23.0,36,31,8.0,3.0,11.0,7.0,0.0,4.7,7.7,12.4,151.0,144.0,388.0
149,Destiny Udogie,it ITA,DF,20.0,28,28,2.0,3.0,5.0,7.0,1.0,2.4,2.2,4.6,83.0,155.0,138.0
150,Micky van de Ven,nl NED,DF,22.0,27,27,3.0,0.0,3.0,5.0,0.0,0.6,0.0,0.6,19.0,108.0,9.0
151,Pape Matar Sarr,sn SEN,MF,20.0,34,27,3.0,3.0,6.0,9.0,0.0,3.4,2.2,5.7,43.0,150.0,90.0
152,James Maddison,eng ENG,MF,26.0,28,26,4.0,9.0,13.0,5.0,0.0,6.4,5.9,12.4,58.0,224.0,156.0
153,Yves Bissouma,ml MLI,MF,26.0,28,26,0.0,0.0,0.0,10.0,2.0,1.4,0.4,1.8,43.0,169.0,13.0
154,Brennan Johnson,wls WAL,FW,22.0,32,23,5.0,10.0,15.0,3.0,0.0,10.3,8.1,18.3,97.0,72.0,293.0
155,Richarlison,br BRA,FW,26.0,28,18,11.0,4.0,15.0,3.0,0.0,9.6,2.1,11.7,26.0,38.0,106.0
156,Rodrigo Bentancur,uy URU,MF,26.0,23,13,1.0,1.0,2.0,7.0,0.0,1.9,0.5,2.4,16.0,72.0,31.0
157,Ben Davies,wls WAL,DF,30.0,17,12,1.0,0.0,1.0,2.0,0.0,2.3,0.4,2.7,13.0,71.0,20.0
158,Emerson,br BRA,DF,24.0,22,11,1.0,0.0,1.0,4.0,0.0,0.2,0.4,0.6,21.0,57.0,35.0
159,Timo Werner,de GER,FW,27.0,13,10,2.0,3.0,5.0,1.0,0.0,3.7,2.7,6.4,79.0,41.0,124.0
160,Pierre Højbjerg,dk DEN,MF,27.0,36,8,0.0,0.0,0.0,4.0,0.0,0.7,1.2,1.9,17.0,134.0,29.0
161,Oliver Skipp,eng ENG,"MF,DF",22.0,21,5,0.0,0.0,0.0,3.0,0.0,0.7,0.6,1.3,8.0,37.0,25.0
162,Giovani Lo Celso,ar ARG,MF,27.0,22,4,2.0,2.0,4.0,2.0,0.0,0.6,1.9,2.5,25.0,68.0,29.0
163,Radu Drăgușin,ro ROU,DF,21.0,9,4,0.0,0.0,0.0,1.0,0.0,0.1,0.0,0.1,5.0,8.0,1.0
164,Bryan Gil,es ESP,"FW,MF",22.0,11,2,0.0,0.0,0.0,0.0,0.0,0.8,0.2,1.0,11.0,16.0,49.0
165,Manor Solomon,il ISR,FW,24.0,5,2,0.0,2.0,2.0,1.0,0.0,0.4,0.8,1.2,17.0,11.0,44.0
166,Eric Dier,eng ENG,DF,29.0,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
167,Ivan Perišić,hr CRO,FW,34.0,5,0,0.0,1.0,1.0,2.0,0.0,0.1,0.9,1.0,15.0,9.0,17.0
168,Davinson Sánchez,co COL,DF,27.0,1,0,0.0,0.0,0.0,1.0,0.0,0.1,0.0,0.1,0.0,2.0,0.0
169,Alejo Véliz,ar ARG,FW,19.0,8,0,1.0,0.0,1.0,1.0,0.0,0.2,0.0,0.2,0.0,1.0,3.0
170,Dane Scarlett,eng ENG,FW,19.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0
171,Mikey Moore,eng ENG,MF,15.0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0
172,Jamie Donley,eng ENG,FW,18.0,3,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173,André Onana,cm CMR,GK,27.0,38,38,0.0,0.0,0.0,5.0,0.0,0.0,0.1,0.1,1.0,5.0,0.0
174,Diogo Dalot,pt POR,DF,24.0,36,35,2.0,3.0,5.0,6.0,1.0,1.7,2.9,4.6,52.0,124.0,111.0
175,Bruno Fernandes,pt POR,"MF,FW",28.0,35,35,10.0,8.0,18.0,9.0,0.0,10.0,11.8,17.8,86.0,297.0,182.0
176,Alejandro Garnacho,ar ARG,FW,19.0,36,30,7.0,4.0,11.0,4.0,0.0,8.4,5.1,13.4,178.0,62.0,281.0
177,Marcus Rashford,eng ENG,FW,25.0,33,26,7.0,2.0,9.0,2.0,0.0,7.4,2.3,8.1,95.0,65.0,184.0
178,Rasmus Højlund,dk DEN,FW,20.0,30,25,10.0,2.0,12.0,2.0,0.0,7.6,1.6,9.2,36.0,33.0,111.0
179,Casemiro,br BRA,"MF,DF",31.0,25,24,1.0,2.0,3.0,7.0,0.0,3.5,1.0,4.5,12.0,112.0,36.0
180,Kobbie Mainoo,eng ENG,MF,18.0,24,24,3.0,1.0,4.0,3.0,0.0,0.9,0.7,1.6,25.0,64.0,36.0
181,Aaron Wan-Bissaka,eng ENG,DF,25.0,22,20,0.0,2.0,2.0,4.0,0.0,0.1,1.5,1.6,30.0,77.0,54.0
182,Scott McTominay,sct SCO,"MF,FW",26.0,32,18,7.0,1.0,8.0,2.0,0.0,5.7,0.8,6.6,29.0,64.0,47.0
183,Harry Maguire,eng ENG,DF,30.0,22,18,2.0,2.0,4.0,4.0,0.0,2.0,1.2,3.3,20.0,73.0,2.0
184,Raphaël Varane,fr FRA,DF,30.0,22,16,1.0,0.0,1.0,2.0,0.0,1.3,0.1,1.3,16.0,59.0,2.0
185,Jonny Evans,nir NIR,DF,35.0,23,15,0.0,1.0,1.0,2.0,0.0,0.1,1.2,1.2,7.0,37.0,1.0
186,Antony,br BRA,FW,23.0,29,15,1.0,1.0,2.0,5.0,0.0,3.4,2.8,6.1,53.0,64.0,149.0
187,Victor Lindelöf,se SWE,DF,29.0,19,14,1.0,1.0,2.0,2.0,0.0,0.8,0.3,1.1,17.0,40.0,17.0
188,Christian Eriksen,dk DEN,MF,31.0,22,12,1.0,2.0,3.0,1.0,0.0,1.0,2.3,3.3,20.0,68.0,23.0
189,Luke Shaw,eng ENG,DF,28.0,12,12,0.0,0.0,0.0,6.0,0.0,0.0,1.0,1.0,10.0,45.0,30.0
190,Sofyan Amrabat,ma MAR,"MF,DF",26.0,21,10,0.0,0.0,0.0,6.0,0.0,0.1,0.3,0.4,6.0,66.0,10.0
191,Lisandro Martínez,ar ARG,DF,25.0,11,8,0.0,1.0,1.0,3.0,0.0,0.0,0.1,0.1,8.0,28.0,1.0
